[' ',[u'chinese',[u'moroccan',[u'british',[u'greek',[u'russian',[u'southern_us',[u'irish',[u'mexican',[u'vietnamese',[u'brazilian',[u'japanese',[u'indian',[u'jamaican',[u'french',[u'spanish',[u'cajun_creole',[u'thai',[u'korean',[u'filipino',[u'italian',Max
 u'driedchickpeas',0,4,0,2,0,0,0,0,0,0,0,10,0,0,3,0,2,0,0,1,10
 u'ricesyrup',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10
 u'baconfat',2,0,1,0,1,10,0,5,0,0,0,0,0,1,0,2,0,0,0,1,10
 u'nillawafers',0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
 u'fishfillets',3,3,7,0,2,1,1,8,2,9,3,6,1,9,3,2,6,0,1,10,10
 u'shreddedcoconut',1,0,0,0,0,1,1,2,1,10,4,8,2,2,0,0,4,0,4,1,10
 u'canola',10,1,0,0,0,4,0,5,2,1,4,2,0,1,0,2,3,0,0,0,10
 u'cornbreadmix',0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,1,0,0,0,0,10
 u'spanishonion',0,3,0,1,0,3,0,8,0,2,0,3,1,3,10,3,0,1,0,9,10
 u'peeledshrimp',4,0,0,0,0,3,0,3,1,0,1,2,0,1,3,7,10,0,0,3,10
 u'drioreganoleaves',0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,10
 u'msg',10,0,0,0,0,0,0,5,1,0,3,0,0,0,0,0,0,5,3,2,10
 u'crystallizedginger',0,0,7,0,1,6,3,0,0,0,2,4,2,3,0,0,0,0,0,10,10
 u'deveinedshrimp',4,1,0,2,0,5,0,10,4,0,1,5,0,0,3,6,3,1,1,6,10
 u'cookingsherry',10,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,2,10
 u'crush',0,0,0,2,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,8,10
 u'drieddill',0,0,0,10,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,10
 u'babyportobellomushrooms',1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,10,10
 u'shreddedextrasharpcheddarcheese',0,0,1,0,0,10,0,8,0,0,0,0,0,0,0,1,0,0,0,2,10
 u'rolledoats',0,0,10,1,0,8,7,2,0,1,0,2,0,0,0,0,1,0,1,0,10
 u'roastedhazelnuts',1,1,2,1,1,0,0,0,0,0,1,0,0,3,2,0,0,0,0,10,10
 u'groundmustard',0,1,0,0,0,10,0,2,1,0,3,3,0,0,0,5,0,0,1,1,10
 u'drieddillweed',0,0,0,10,7,4,0,6,0,0,0,0,0,2,0,1,0,0,0,4,10
 u'thainoodles',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10
 u'focaccia',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
 u'cannedcorn',1,0,1,0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,10
 u'softgoat',0,0,0,0,2,0,1,4,0,0,0,0,0,5,1,0,0,0,0,10,10
 u'bakedpizzacrust',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,10
 u'pomegranateseeds',1,2,2,2,0,0,0,10,0,1,2,6,0,0,0,0,0,0,0,3,10
 u'slicedshallots',1,0,0,0,0,0,0,1,7,0,0,0,0,1,1,0,10,1,0,0,10
 u'foiegras',0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9
 u'reducedfatcoconutmilk',0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,9
 u'tigerprawn',1,1,0,0,0,1,0,1,6,0,1,1,0,0,1,1,9,0,2,0,9
 u'longbeans',2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,5,0,9
 u'almondflour',4,0,0,0,0,7,0,2,1,0,1,4,1,9,1,1,1,0,0,8,9
 u'sweetminibells',0,0,0,0,0,1,0,9,0,0,0,0,0,1,1,0,0,1,0,0,9
 u'loinporkroast',6,0,0,0,0,1,0,9,2,0,1,0,0,1,1,1,0,1,0,1,9
 u'ranchstylebeans',0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'dillweed',0,0,0,9,8,1,1,2,0,0,0,1,0,0,0,0,0,0,0,3,9
 u'redpreservedbeancurd',9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
 u'linguini',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9
 u'calamari',0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,2,0,0,9,9
 u'pastasheets',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
 u'cantaloupe',0,0,0,0,0,0,0,7,0,0,0,1,0,1,2,0,0,0,4,9,9
 u'tentacles',0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,9
 u'frozenbreaddough',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,9
 u'pimentostuffedgreenolives',0,2,0,2,0,2,0,9,0,0,0,0,0,1,9,5,0,0,0,7,9
 u'bonito',0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,9
 u'fritos',0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'wholechicken',9,1,0,2,0,8,0,7,0,0,0,5,3,2,0,1,0,1,4,2,9
 u'quesoasadero',0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'uncookmediumshrimp',1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,9,2,0,1,3,9
 u'nutritionalyeast',0,0,0,0,0,2,1,9,0,0,2,1,0,2,0,1,1,0,0,8,9
 u'hotchilipowder',1,1,0,0,0,0,0,9,0,0,0,9,1,0,0,0,0,0,0,0,9
 u'cookedbacon',1,0,1,1,0,9,1,7,0,0,0,0,1,1,0,2,0,0,0,8,9
 u'refrigeratedcrescentrolls',0,0,0,0,0,4,1,9,0,0,0,0,1,1,0,2,0,0,0,7,9
 u'lightbeer',0,0,1,0,1,0,0,9,0,0,0,0,1,1,0,0,0,1,0,0,9
 u'beateneggs',7,0,4,0,3,9,1,4,0,1,4,3,3,5,0,6,4,0,1,3,9
 u'cod',0,1,9,1,0,2,2,6,1,1,1,1,0,4,2,1,0,1,0,3,9
 u'glace',0,2,1,0,0,0,1,1,0,0,6,0,0,9,0,0,1,0,0,4,9
 u'porkloinchops',9,1,1,2,1,4,1,5,7,0,2,1,2,2,1,2,2,2,1,7,9
 u'cavatelli',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9
 u'sweetandsoursauce',9,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,9
 u'baileysirishcreamliqueur',0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'jam',3,0,9,0,3,3,1,1,1,0,0,0,0,2,0,0,0,0,1,3,9
 u'hotchilioil',9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,9
 u'vermicelli',5,6,0,0,0,0,0,6,4,0,0,5,0,2,1,0,1,0,1,9,9
 u'spareribs',9,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,9
 u'slaw',2,0,0,0,0,6,1,9,0,0,1,0,0,0,0,0,1,1,0,0,9
 u'lowsodiumchickenstock',9,0,0,0,0,1,1,6,0,2,1,2,0,1,0,4,5,1,1,6,9
 u'risottorice',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,9
 u'maggi',9,0,0,0,1,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,9
 u'almondmilk',0,0,0,0,0,3,0,1,0,9,0,4,0,1,0,0,0,0,0,4,9
 u'blueberries',0,0,3,0,3,8,0,1,0,2,0,0,0,6,0,0,0,0,0,9,9
 u'sardines',0,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,1,9,9
 u'thinpizzacrust',0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,9,9
 u'duckdrumsticks',3,0,0,0,0,1,0,0,2,0,0,0,0,9,0,1,0,0,0,0,9
 u'mediumeggs',3,1,9,1,0,0,0,0,0,0,1,0,1,1,2,2,1,0,0,2,9
 u'driedblackmushrooms',9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'turkeybreastcutlets',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,9
 u'beefstockcubes',0,0,5,1,1,2,0,9,1,2,0,0,0,0,2,0,0,0,1,6,9
 u'cavatappi',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,9
 u'cookedrigatoni',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
 u'peelanddevein',1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,9,2,0,1,3,9
 u'espresso',0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,9,9
 u'applesauce',0,0,1,1,3,9,1,0,0,0,0,1,0,2,0,1,1,0,0,1,9
 u'salad',1,2,1,4,0,4,0,6,5,1,1,3,0,6,3,5,7,3,0,9,9
 u'glutenfreesoysauce',9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,9
 u'ackee',0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
 u'chilepastewithgarlic',8,0,0,0,0,1,0,0,4,0,3,1,0,0,0,0,9,1,0,0,9
 u'shreddedmildcheddarcheese',0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,1,9
 u'darkchocolate',0,0,1,2,1,9,1,6,0,2,0,1,1,8,1,1,0,0,0,7,9
 u'nonfatbuttermilk',0,0,0,1,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,1,9
 u'summersquash',1,0,0,1,0,3,0,2,0,0,0,0,0,1,0,0,0,1,0,9,9
 u'blackricevinegar',9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'tortillashells',0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,9
 u'refrigeratedbiscuits',0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,9
 u'cheeseblend',0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'jerkseasoning',0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
 u'choysum',9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9
 u'rajma',0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9
 u'ancho',0,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'philadelphiacreamcheese',2,0,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,9,9
 u'marmite',0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9
 u'garlicchives',9,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,7,3,0,1,9
 u'litecoconutmilk',0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,9,0,0,0,9
 u'whitebuttonmushrooms',9,0,3,0,1,2,0,1,0,0,0,3,0,4,0,0,1,0,0,3,9
 u'apricotpreserves',1,1,0,0,3,3,1,0,0,0,0,3,0,9,0,0,0,1,0,7,9
 u'seabassfillets',0,0,0,0,0,0,0,4,1,4,9,1,1,6,1,0,2,0,0,5,9
 u'grahamcrackers',0,0,1,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,2,2,9
 u'champagne',1,0,2,0,0,3,2,0,0,1,0,0,1,9,2,1,0,0,0,6,9
 u'chanterelle',0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,9,9
 u'wholewheatpita',0,1,0,9,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,9
 u'frozenbanana',0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
 u'shaoxing',9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'slicedham',0,0,1,0,0,5,0,2,0,0,0,0,0,5,1,2,0,0,0,9,9
 u'bonelessbeefchuckroast',3,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,2,0,3,9
 u'smallredbeans',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
 u'nuoccham',0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9
 u'stilton',0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'mirlitons',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
 u'piedough',0,0,2,0,0,9,1,3,0,0,0,1,0,9,1,0,0,0,0,0,9
 u'kefalotyri',0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'oldelpasoenchiladasauce',0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'driedcranberries',1,7,6,0,2,8,9,2,0,0,0,2,0,4,1,1,0,0,0,8,9
 u'redkidneibeans',0,0,0,0,0,1,0,9,0,0,0,0,2,0,0,4,0,0,0,2,9
 u'seabass',9,1,0,0,0,1,0,0,0,2,1,0,0,3,1,0,0,0,0,1,9
 u'frangelico',0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,9
 u'dumplings',9,0,0,0,0,9,1,1,2,0,1,0,0,0,0,0,0,4,1,2,9
 u'yellowlentils',0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,1,1,0,0,0,9
 u'roquefortcheese',0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,9
 u'papaya',0,0,1,0,0,0,1,9,4,2,1,4,2,1,2,0,4,0,3,0,9
 u'atta',0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,9
 u'swansonchickenbroth',0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,9,9
 u'mexicanstyle',0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'fatricottacheese',0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,9
 u'marshmallowcreme',0,0,0,0,0,9,2,1,0,0,0,0,0,2,0,1,0,0,0,0,9
 u'greenpeppercorns',2,0,2,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,2,2,9
 u'steamedrice',8,1,0,0,0,0,0,1,4,0,7,4,1,1,0,7,9,5,1,1,9
 u'grappa',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
 u'grahamcrackercrusts',0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9
 u'varnishclams',2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,9,9
 u'campari',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
 u'maltose',9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'syrup',2,0,1,2,1,9,0,3,0,1,0,1,0,3,0,0,0,4,0,4,9
 u'fresca',0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9
 u'callaloo',0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
 u'chocolateshavings',0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,9,9
 u'mungbeans',3,0,0,0,0,0,0,1,7,0,0,5,0,0,0,0,5,4,9,0,9
 u'chestnuts',6,1,2,1,0,2,0,0,0,0,1,0,0,6,0,0,0,3,0,9,9
 u'paneercheese',0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,9
 u'yellowfoodcoloring',2,0,0,0,0,5,0,0,0,0,0,9,0,1,0,0,0,0,3,2,9
 u'orangepeel',5,1,1,1,1,2,1,2,0,0,1,0,1,9,2,1,1,0,0,7,9
 u'mincemeat',0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9
 u'fryerchickens',0,0,0,0,0,9,0,0,0,1,1,1,0,1,0,3,0,0,1,1,9
 u'roux',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,9
 u'porkchops',8,0,0,0,1,9,0,2,3,3,7,2,1,2,0,1,3,2,2,8,9
 u'slicedcucumber',1,0,0,9,0,1,0,1,6,0,3,1,0,0,1,0,4,0,1,0,9
 u'frozenedamamebeans',1,0,0,1,0,1,0,0,0,0,9,0,0,0,0,0,6,0,0,0,9
 u'cutlet',2,0,0,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,9,9
 u'fishcake',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9
 u'lilybuds',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'porkshoulderbutt',1,0,0,0,0,1,0,8,0,0,2,0,0,0,2,0,0,0,0,1,8
 u'pandrippings',0,0,2,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,8
 u'gritquick',0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'charsiu',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'raita',0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
 u'wholewheatbread',0,0,2,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,8,8
 u'redchilesauce',1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'agedbalsamicvinegar',0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,8,8
 u'extralargeeggs',1,3,2,1,3,6,0,1,0,0,3,0,0,2,1,0,0,1,0,8,8
 u'wildrice',2,0,0,1,0,1,0,2,0,0,0,0,0,3,1,8,0,0,0,2,8
 u'herbseasoning',0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,8,8
 u'shavedparmesancheese',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
 u'curedolives',0,1,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,8
 u'wholewheatlasagnanoodles',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
 u'mediumeggnoodles',2,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,2,0,0,8,8
 u'beeftenderloinsteaks',1,0,4,0,2,0,2,2,0,0,0,0,0,8,0,0,2,0,0,8,8
 u'yellowhominy',0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'friedgarlic',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,8
 u'driedcornhusks',0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'cookingoats',0,0,3,1,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,5,8
 u'vanillawafercrumbs',0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'wholewheatcouscous',0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'fieldpeas',0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
 u'silvertequila',0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'frenchfriedonions',2,0,0,0,0,1,0,2,1,0,0,8,0,1,0,0,1,0,0,1,8
 u'achiote',0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'rutabaga',0,1,4,0,0,1,8,0,0,0,0,0,0,3,0,0,0,0,0,0,8
 u'chapatiflour',0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
 u'frozensweetcorn',0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,8
 u'smallwhitebeans',0,0,0,0,0,1,0,3,0,0,0,0,0,8,0,0,0,0,0,4,8
 u'meyerlemon',0,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,8
 u'refriedblackbeans',0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,8
 u'caviar',0,0,1,1,8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8
 u'nuts',5,1,0,1,0,2,0,1,0,3,4,8,1,1,1,0,0,3,1,3,8
 u'mochiko',1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8
 u'freemayonnaise',0,0,0,0,0,0,1,5,2,0,1,1,0,1,2,4,0,0,0,8,8
 u'khoa',0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,8
 u'filletredsnapper',3,0,0,4,0,1,0,8,0,0,0,1,1,6,2,3,1,0,1,7,8
 u'peppersauce',4,0,0,0,0,7,0,4,0,0,0,0,8,0,2,5,3,0,0,1,8
 u'topsirloinsteak',8,0,0,1,1,2,1,2,2,0,0,1,1,0,0,1,0,4,0,3,8
 u'chinesericevinegar',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'tamarindjuice',0,0,0,0,1,0,0,0,2,0,1,3,0,0,0,0,8,0,1,0,8
 u'hiddenvalley',0,0,0,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,8
 u'smokedturkeysausage',0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,8,0,0,0,0,8
 u'refrigeratedbuttermilkbiscuits',0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,1,0,0,0,2,8
 u'chilipastewithgarlic',8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8
 u'sweetcornkernels',0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'navybeans',0,1,0,1,0,4,0,3,0,0,0,0,0,3,2,0,0,0,0,8,8
 u'bicarbonateofsoda',2,0,8,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,8
 u'porkshoulderbostonbutt',3,0,0,0,0,3,0,8,1,2,0,0,0,3,0,0,1,1,0,4,8
 u'refrigeratedfettuccine',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8
 u'pacechunkysalsa',0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'granulatedwhitesugar',4,0,1,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,8,1,8
 u'capellini',2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8
 u'colorfoodgreen',0,1,0,0,0,4,8,0,1,0,0,0,0,1,0,0,0,0,0,2,8
 u'channadal',0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,8
 u'storeboughtlowsodiumchickenstock',8,1,0,0,1,3,1,8,0,0,2,0,2,0,0,1,2,0,0,2,8
 u'adobo',1,0,0,0,0,2,0,8,0,0,0,0,0,0,2,0,0,0,2,0,8
 u'blackcardamompods',1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,8
 u'fullfatcoconutmilk',0,0,1,0,0,0,0,0,0,0,1,8,2,1,0,0,7,0,0,0,8
 u'leanbeef',2,0,0,0,2,0,0,8,0,0,1,0,0,0,1,0,0,0,1,2,8
 u'seedlesscucumber',4,0,0,7,2,1,0,6,4,0,3,8,0,1,3,0,7,0,0,4,8
 u'groundoregano',0,0,0,1,0,1,0,8,0,0,0,0,0,0,1,1,0,0,0,4,8
 u'driedsaltedcodfish',0,0,0,0,0,0,0,0,0,0,0,0,8,2,7,0,0,0,0,3,8
 u'soup',2,0,0,0,0,4,0,4,4,0,8,0,0,3,0,3,2,0,0,4,8
 u'dutch',0,0,1,0,0,6,0,0,0,0,0,0,0,8,1,0,0,0,0,5,8
 u'lowsodiumtacoseasoning',0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'whiteflour',1,1,8,0,1,4,0,1,0,0,2,2,2,2,0,2,0,2,1,1,8
 u'squash',1,5,0,0,0,1,0,8,1,0,0,1,1,0,0,1,3,1,2,7,8
 u'chocolatemorsels',0,0,0,0,0,8,0,1,0,0,0,0,0,8,0,0,0,0,0,4,8
 u'shells',1,1,0,0,0,3,1,8,1,1,2,0,0,3,0,8,3,0,2,8,8
 u'choppedfreshherbs',0,1,0,1,0,1,0,0,2,0,0,0,0,5,0,0,0,0,0,8,8
 u'mildgreenchiles',0,1,0,0,0,0,0,8,0,0,0,1,0,0,0,2,0,0,0,0,8
 u'hamburger',1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,3,5,8
 u'seafoodseasoning',0,0,0,0,0,4,0,2,0,0,0,0,0,1,1,8,0,0,0,1,8
 u'fatfreecreamcheese',0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,8,8
 u'gumbofile',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
 u'unsaltedroastedpeanuts',2,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,8,0,0,0,8
 u'drypasta',0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,8,8
 u'fatcreamcheese',0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,5,8
 u'codfillets',1,0,6,2,1,0,1,6,0,1,4,4,0,7,3,4,1,0,0,8,8
 u'parboiledrice',0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,1,1,0,0,0,8
 u'chickenbreasttenders',3,1,0,2,0,1,0,7,0,0,1,1,0,0,0,1,4,0,0,8,8
 u'ragu',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8
 u'foodcolouring',2,2,0,0,1,4,1,0,0,0,1,8,0,3,0,6,0,2,1,1,8
 u'pistachionuts',0,2,1,0,0,0,0,0,0,0,0,8,0,3,1,0,0,0,0,7,8
 u'processedcocoapowder',0,0,1,0,0,6,0,0,0,0,0,0,0,8,1,0,0,0,0,5,8
 u'soda',2,0,1,0,0,8,0,0,1,0,0,7,0,0,0,0,0,2,0,0,8
 u'knorrgarlicminicub',0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8
 u'snotbutter',1,0,0,0,0,8,1,3,0,0,0,0,0,1,0,0,1,0,0,7,8
 u'whitefish',0,2,1,0,0,0,0,8,0,1,2,1,0,5,1,1,8,1,0,2,8
 u'californiaavocado',0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,8
 u'sprite',0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,8,0,8
 u'yellowrocksugar',6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8
 u'kelp',0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,8
 u'yellowcurrypaste',2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,8
 u'sodiumfat',1,1,0,0,0,8,0,4,0,0,0,1,0,0,1,2,0,0,0,4,8
 u'frozenpeaches',0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
 u'nonfatgreekyogurt',0,0,0,7,0,1,0,8,0,0,0,4,0,0,0,0,0,0,0,3,8
 u'toproundsteak',3,0,1,0,0,8,0,4,3,0,1,0,0,0,0,1,1,3,0,2,8
 u'pastrydough',0,0,6,0,1,2,3,2,0,0,0,0,2,8,0,0,0,0,1,2,8
 u'finesalt',1,0,1,0,1,8,1,6,0,1,1,1,0,3,0,0,0,0,0,0,8
 u'ican',1,1,0,1,0,8,1,3,0,0,0,0,0,1,0,0,1,0,0,7,8
